"pitcher1","pitcher2","similarity"
"Danny Duffy","Jon Lester",0.96758840826196
"Matt Moore","Jon Lester",0.920795125503163
"Drew Pomeranz","Jon Lester",1.36022579517774
"Chris Sale","Jon Lester",1.32586014262589
"Martin Perez","Jon Lester",1.07062711706281
"Adam Conley","Jon Lester",1.25179600201209
"Mike Montgomery","Jon Lester",0.966183159153373
"Hyun-Jin Ryu","Jon Lester",0.962777266127417
"Matt Boyd","Jon Lester",0.952175693886638
"Patrick Corbin","Jon Lester",0.938973454669278
"Steven Matz","Jon Lester",1.13936362226104
"James Paxton","Jon Lester",1.2100635553034
"Dallas Keuchel","Jon Lester",1.01704169811118
"Robbie Ray","Jon Lester",0.987178115169612
"Eduardo Rodriguez","Jon Lester",1.03404205465295
"Daniel Norris","Jon Lester",0.814107355503816
"Blake Snell","Jon Lester",1.11264157732596
"Adalberto Mejia","Jon Lester",0.998901510756418
"Carlos Rodon","Jon Lester",0.945862618747162
"Kyle Freeland","Jon Lester",1.04938809925214
"Sean Manaea","Jon Lester",1.34809423253404
"Jordan Montgomery","Jon Lester",0.951308186933353
"Sean Newcomb","Jon Lester",1.10087897421397
"Ariel Miranda","Jon Lester",1.27257305244272
"Jason Vargas","Jon Lester",1.53014653655966
"Ty Blach","Jon Lester",1.27629725271966
"Alex Wood","Jon Lester",1.12067023501176
"Hector Santiago","Jon Lester",1.13216871141531
"CC Sabathia","Clayton Richard",1.49344372352572
"Cole Hamels","Clayton Richard",1.13749331065498
"Francisco Liriano","Clayton Richard",1.11687893256869
"Rich Hill","Clayton Richard",2.68869499920888
"Jaime Garcia","Clayton Richard",1.06739933732019
"Jon Lester","Clayton Richard",1.47910473172808
"Clayton Richard","Clayton Richard",0
"David Price","Clayton Richard",1.29666447835683
"J. A. Happ","Clayton Richard",1.25211963296879
"Gio Gonzalez","Clayton Richard",1.46704238223809
"Travis Wood","Clayton Richard",1.92679413544655
"Clayton Kershaw","Clayton Richard",2.36144236972866
"Wade Miley","Clayton Richard",1.65144254420459
"Jose Quintana","Clayton Richard",1.75489469354862
"Derek Holland","Clayton Richard",1.33646586464255
"Madison Bumgarner","Clayton Richard",1.50042451744802
"Danny Duffy","Clayton Richard",1.55880894956598
"Matt Moore","Clayton Richard",1.22378927146273
"Drew Pomeranz","Clayton Richard",2.24572947880054
"Chris Sale","Clayton Richard",1.28379833571967
"Martin Perez","Clayton Richard",0.948995073219998
"Adam Conley","Clayton Richard",1.12919557874726
"Mike Montgomery","Clayton Richard",1.1701634107811
"Hyun-Jin Ryu","Clayton Richard",1.63171447591735
"Matt Boyd","Clayton Richard",1.26585971412823
"Patrick Corbin","Clayton Richard",1.34815113849917
"Steven Matz","Clayton Richard",1.02794929844757
"James Paxton","Clayton Richard",1.77155424826161
"Dallas Keuchel","Clayton Richard",1.13086524685564
"Robbie Ray","Clayton Richard",1.58145521700905
"Eduardo Rodriguez","Clayton Richard",1.31138447634592
"Daniel Norris","Clayton Richard",1.51551601326725
"Blake Snell","Clayton Richard",1.89074957127556
"Adalberto Mejia","Clayton Richard",1.45222986284665
"Carlos Rodon","Clayton Richard",1.3281433104853
"Kyle Freeland","Clayton Richard",0.995112307971049
"Sean Manaea","Clayton Richard",0.702054546163245
"Jordan Montgomery","Clayton Richard",1.58149506314086
"Sean Newcomb","Clayton Richard",1.80230660478141
"Ariel Miranda","Clayton Richard",1.66183837740192
"Jason Vargas","Clayton Richard",1.63418439591148
"Ty Blach","Clayton Richard",1.25179031769913
"Alex Wood","Clayton Richard",1.0897264716037
"Hector Santiago","Clayton Richard",1.6620524455165
"CC Sabathia","David Price",1.19977973931119
"Cole Hamels","David Price",0.79374590022212
"Francisco Liriano","David Price",0.627049921861498
"Rich Hill","David Price",2.39091103401926
"Jaime Garcia","David Price",1.02743884765056
"Jon Lester","David Price",0.999090995361902
"Clayton Richard","David Price",1.29666447835683
"David Price","David Price",0
