"pitcher1","pitcher2","similarity"
"Jharel Cotton","Bronson Arroyo",2.13401706350406
"Michael Fulmer","Bronson Arroyo",2.74545984421274
"Daniel Gossett","Bronson Arroyo",1.97294960703761
"Joe Musgrove","Bronson Arroyo",2.02568062795464
"Aaron Nola","Bronson Arroyo",1.99886571899306
"Luis Perdomo","Bronson Arroyo",2.58755585808614
"Rafael Montero","Bronson Arroyo",2.35627166509215
"Jacob Faria","Bronson Arroyo",2.10357969485477
"Robert Gsellman","Bronson Arroyo",2.50713218513064
"Nick Martinez","Bronson Arroyo",2.30486878198419
"Joe Biagini","Bronson Arroyo",2.4506604752247
"Seth Lugo","Bronson Arroyo",2.00242327615798
"Corey Knebel","Bronson Arroyo",3.09788664942829
"Michael Wacha","Bronson Arroyo",2.63505768423054
"German Marquez","Bronson Arroyo",2.51476594873886
"Lance McCullers","Bronson Arroyo",2.54005335169291
"Jose Berrios","Bronson Arroyo",2.1631846669903
"Luis Castillo","Bronson Arroyo",2.91960909991515
"Antonio Senzatela","Bronson Arroyo",2.62174938224926
"Luis Severino","Bronson Arroyo",2.80893595421693
"Kenta Maeda","Bronson Arroyo",1.84017608054282
"Chad Kuhl","Bronson Arroyo",2.82652025621686
"Zack Godley","Bronson Arroyo",2.18736070651286
"Austin Pruitt","Bronson Arroyo",2.11854538320441
"Jeff Hoffman","Bronson Arroyo",2.57453627007072
"Dinelson Lamet","Bronson Arroyo",2.45883100051809
"Jesse Hahn","Bronson Arroyo",2.41499929303258
"Zach Davies","Bronson Arroyo",1.98317761085167
"Scott Feldman","Bronson Arroyo",1.62374847047477
"Mike Leake","Bronson Arroyo",2.04144390250156
"Trevor Cahill","Bronson Arroyo",2.00833587008556
"Kendall Graveman","Bronson Arroyo",2.82832091512078
"Jake Arrieta","Bronson Arroyo",2.32046588957774
"Joe Ross","Bronson Arroyo",2.03884231467773
"Mike Pelfrey","Bronson Arroyo",2.15746535959036
"Bartolo Colon","R. A. Dickey",1.99491839588056
"Bronson Arroyo","R. A. Dickey",1.62166343469233
"R. A. Dickey","R. A. Dickey",0
"John Lackey","R. A. Dickey",1.74404229161598
"Adam Wainwright","R. A. Dickey",2.02857125257346
"Zack Greinke","R. A. Dickey",2.02006380593874
"Ervin Santana","R. A. Dickey",2.24967002824984
"Matt Cain","R. A. Dickey",1.94924078773651
"Felix Hernandez","R. A. Dickey",2.01790748475512
"Yusmeiro Petit","R. A. Dickey",1.92762289495288
"Justin Verlander","R. A. Dickey",2.69115018630609
"Ubaldo Jimenez","R. A. Dickey",2.08314266167764
"Jason Hammel","R. A. Dickey",2.03312770941666
"Anibal Sanchez","R. A. Dickey",1.91787248894251
"Brandon McCarthy","R. A. Dickey",2.4965949956732
"Ricky Nolasco","R. A. Dickey",2.00959532605486
"Jesse Chavez","R. A. Dickey",2.18861979761124
"Corey Kluber","R. A. Dickey",2.163702492015
"James Shields","R. A. Dickey",1.83037793677121
"Carlos Torres","R. A. Dickey",2.6510416934677
"Edinson Volquez","R. A. Dickey",2.3716942585208
"Charlie Morton","R. A. Dickey",2.65705704896921
"Yovani Gallardo","R. A. Dickey",2.26786075468036
"Ian Kennedy","R. A. Dickey",2.40683403191274
"Max Scherzer","R. A. Dickey",2.27533012975057
"Miguel Gonzalez","R. A. Dickey",2.04548511381432
"Johnny Cueto","R. A. Dickey",2.08934300752567
"Lance Lynn","R. A. Dickey",2.37460952990599
"Josh Tomlin","R. A. Dickey",1.79178843707638
"Marco Estrada","R. A. Dickey",2.4903494944176
"Ivan Nova","R. A. Dickey",2.36025468186641
"Jhoulys Chacin","R. A. Dickey",1.99560069798654
"Carlos Carrasco","R. A. Dickey",2.34780073833425
"Jeremy Hellickson","R. A. Dickey",2.07909616384689
"Andrew Cashner","R. A. Dickey",2.40025556512445
"Craig Stammen","R. A. Dickey",2.21342490304986
"Matt Garza","R. A. Dickey",2.14975182648898
"J. C. Ramirez","R. A. Dickey",2.45664543848068
"Michael Pineda","R. A. Dickey",2.10399846182698
"Chris Tillman","R. A. Dickey",2.01608477628811
"Chris Archer","R. A. Dickey",2.53536263662113
"Kyle Gibson","R. A. Dickey",2.10938564667665
"Alex Cobb","R. A. Dickey",2.32536840792114
"Jeff Samardzija","R. A. Dickey",2.38717388869076
"Chase Anderson","R. A. Dickey",2.42149846549919
"Brad Peacock","R. A. Dickey",2.02583349630675
"Wily Peralta","R. A. Dickey",2.50366451574603
"Yu Darvish","R. A. Dickey",2.46119470035043
"Danny Salazar","R. A. Dickey",2.66380414533158
"Matt Harvey","R. A. Dickey",2.46945069851862
"Jimmy Nelson","R. A. Dickey",2.52022965080636
"Rick Porcello","R. A. Dickey",2.21049758305803
"Jordan Zimmermann","R. A. Dickey",2.15457586157389
"Julio Teheran","R. A. Dickey",1.99055690123846
"Matt Shoemaker","R. A. Dickey",2.00809319297056
"Tim Adleman","R. A. Dickey",2.1860372553786
"Erasmo Ramirez","R. A. Dickey",2.1068000311517
"Tyler Chatwood","R. A. Dickey",2.67738455586591
"Gerrit Cole","R. A. Dickey",2.7460827068279
"Sonny Gray","R. A. Dickey",2.38600048829981
"Kyle Hendricks","R. A. Dickey",1.79426993012879
"Tom Koehler","R. A. Dickey",2.28794859144033
"Alex Meyer","R. A. Dickey",2.63609502966122
"Jake Odorizzi","R. A. Dickey",2.13060371107063
"Tanner Roark","R. A. Dickey",2.30258488728969
"Stephen Strasburg","R. A. Dickey",2.71934165071599
"Trevor Bauer","R. A. Dickey",2.5363431184221
"Michael Lorenzen","R. A. Dickey",2.73306424931443
"Masahiro Tanaka","R. A. Dickey",1.88429516150404
"Zach Wheeler","R. A. Dickey",2.58710574382644
"Jose Urena","R. A. Dickey",2.56180382889356
"Mike Fiers","R. A. Dickey",2.24820894804118
"Mychal Givens","R. A. Dickey",2.775824744069
"Ryan Tepera","R. A. Dickey",2.62010413262583
"Dan Straily","R. A. Dickey",2.07145801284846
"Marcus Stroman","R. A. Dickey",2.43480423012383
"Parker Bridwell","R. A. Dickey",2.1555487355637
"Mike Foltynewicz","R. A. Dickey",2.49815050427556
"Kevin Gausman","R. A. Dickey",2.65516912711234
"Jon Gray","R. A. Dickey",2.66069061138952
"Jameson Taillon","R. A. Dickey",2.72242096113583
"Vince Velasquez","R. A. Dickey",2.61299547183773
"Taijuan Walker","R. A. Dickey",2.4756629219084
"Trevor Williams","R. A. Dickey",2.2800958985634
"Carlos Martinez","R. A. Dickey",2.58726235946328
"Jacob deGrom","R. A. Dickey",2.5320524926403
"Jerad Eickhoff","R. A. Dickey",1.85549740532134
"Nick Pivetta","R. A. Dickey",2.65758217681701
"Dylan Bundy","R. A. Dickey",2.1459744853791
"Mike Clevinger","R. A. Dickey",2.19962905390352
"Jharel Cotton","R. A. Dickey",2.38687012648527
"Michael Fulmer","R. A. Dickey",2.7869250057232
"Daniel Gossett","R. A. Dickey",2.00988069844107
"Joe Musgrove","R. A. Dickey",2.06943519049799
"Aaron Nola","R. A. Dickey",2.40201609561689
"Luis Perdomo","R. A. Dickey",2.42504829847205
"Rafael Montero","R. A. Dickey",2.33489030359509
"Jacob Faria","R. A. Dickey",2.18255981667046
"Robert Gsellman","R. A. Dickey",2.53031696866178
"Nick Martinez","R. A. Dickey",2.31214319909571
"Joe Biagini","R. A. Dickey",2.54755190673669
"Seth Lugo","R. A. Dickey",2.19723908137693
"Corey Knebel","R. A. Dickey",3.22836277192521
"Michael Wacha","R. A. Dickey",2.7078389426051
"German Marquez","R. A. Dickey",2.57094016723226
